"X","视频类型","关联BV号","标题","BV号","播放量","弹幕数","评论数","收藏数","投币数","分享数","点赞数","点踩数","子分区ID","UP主.x","UP主ID","视频链接","抓取小时","抓取时间","稿件发布时间","UP主.y","UP主ID.y","official_role","official_title","official_desc","official_type","if_state"
35428,"相关视频","BV1yeHGe9EE7","【完整版/人力】超人强：或许我早已成为了怪物。","BV1w6YDesEnV",495951,1714,806,30755,22425,1680,53487,0,"鬼畜调教","FEI_DUCK",508230227,"https://www.bilibili.com/video/BV1w6YDesEnV/",1024,"2024-09-01 07:53","2024-08-11 08:27:52",NA,NA,NA,NA,NA,NA,0
35429,"相关视频","BV1yeHGe9EE7","天命（那只猴子死后）","BV112421Z7tW",1669691,1549,2419,86794,72293,9075,121883,0,"原创音乐","小少焱的",457027794,"https://www.bilibili.com/video/BV112421Z7tW/",1024,"2024-09-01 07:53","2024-08-22 03:56:33",NA,NA,NA,NA,NA,NA,0
35430,"相关视频","BV1yeHGe9EE7","给我你的《袈裟》","BV1T6W9eUEGk",438587,302,852,11245,8471,1923,33268,0,"单机游戏","゚瓜皮桑",15298996,"https://www.bilibili.com/video/BV1T6W9eUEGk/",1024,"2024-09-01 07:53","2024-08-24 01:05:00",NA,NA,NA,NA,NA,NA,0
7036,"热门视频","","《黑 神 话 ：悟 能》","BV1CS411w7DH",265451,122,418,2289,2068,1387,17223,0,"鬼畜调教","碧天蓝钻",7275647,"https://www.bilibili.com/video/BV1CS411w7DH/",693,"2024-08-18 12:53","2024-08-18 08:59:03",NA,NA,NA,NA,NA,NA,0
7037,"相关视频","BV1CS411w7DH","游戏科学新作《黑神话：悟空》13分钟实机演示","BV1x54y1e7zf",57044565,359487,330818,1311018,3540926,1495290,3312267,0,"单机游戏","黑神话悟空",642389251,"https://www.bilibili.com/video/BV1x54y1e7zf/",693,"2024-08-18 12:53","2020-08-20 02:00:52",NA,NA,NA,NA,NA,NA,0
7038,"相关视频","BV1CS411w7DH","8月20号的你","BV1B8p9eaEkn",134432,103,292,529,126,3872,3781,0,"单机游戏","定春和种夏",48471782,"https://www.bilibili.com/video/BV1B8p9eaEkn/",693,"2024-08-18 12:53","2024-08-17 05:47:30",NA,NA,NA,NA,NA,NA,0
7039,"相关视频","BV1CS411w7DH","今年下半年，《黑神话：悟空》正式发售！","BV1dM4m1U7ne",243138,477,2098,893,309,2018,5059,0,"鬼畜剧场","-Madeinheaven-_-",1252109941,"https://www.bilibili.com/video/BV1dM4m1U7ne/",693,"2024-08-18 12:53","2024-06-11 05:33:25",NA,NA,NA,NA,NA,NA,0
7040,"相关视频","BV1CS411w7DH","如何鉴别网友是不是狗","BV1vx4y147MZ",280351,268,1101,5977,574,28786,26392,0,"网络游戏","秦泊夜",10851726,"https://www.bilibili.com/video/BV1vx4y147MZ/",693,"2024-08-18 12:53","2024-08-17 22:00:00",NA,NA,NA,NA,NA,NA,0
7041,"相关视频","BV1CS411w7DH","🐓鸡你太美，但是母鸡🐓","BV13t4y157KU",14076438,64628,13509,215602,305249,117517,881778,0,"鬼畜调教","碧天蓝钻",7275647,"https://www.bilibili.com/video/BV13t4y157KU/",693,"2024-08-18 12:53","2022-07-17 06:42:28",NA,NA,NA,NA,NA,NA,0
7042,"相关视频","BV1CS411w7DH","菊花残","BV16M4m1y73a",319028,175,410,2916,1503,2383,14062,0,"搞笑","全网搜撒欢",298468281,"https://www.bilibili.com/video/BV16M4m1y73a/",693,"2024-08-18 12:53","2024-08-18 11:22:56",NA,NA,NA,NA,NA,NA,0
7043,"相关视频","BV1CS411w7DH","辱骂袁隆平，倒卖J液?时代少年团的粉丝到底有多逆天?！","BV1br421K74n",2566204,26400,10481,35035,16173,21100,202935,0,"Unknown","慕言and发糕",1616223546,"https://www.bilibili.com/video/BV1br421K74n/",693,"2024-08-18 12:53","2024-08-15 11:51:17",NA,NA,NA,NA,NA,NA,0
7044,"相关视频","BV1CS411w7DH","据说剧组太穷了，只好让武指亲自上，一不小心贡献了全剧最高光的打戏。","BV1ThesebECG",287767,1,81,566,7221,71,7764,0,"影视剪辑","我名Bking",1534340759,"https://www.bilibili.com/video/BV1ThesebECG/",693,"2024-08-18 12:53","2024-08-15 03:12:46",NA,NA,NA,NA,NA,NA,0
7045,"相关视频","BV1CS411w7DH","冰者，轨道也","BV1sx4y1f7Bt",780974,302,495,9239,942,6868,34754,0,"搞笑","大霓奈",7560829,"https://www.bilibili.com/video/BV1sx4y1f7Bt/",693,"2024-08-18 12:53","2024-02-07 08:17:04",NA,NA,NA,NA,NA,NA,0
7046,"相关视频","BV1CS411w7DH","以前的虎哥VS现在的虎哥","BV1Tp4y1n7sc",2345825,590,2564,1201,196,551,30407,0,"网络游戏","屁屁行",525502406,"https://www.bilibili.com/video/BV1Tp4y1n7sc/",693,"2024-08-18 12:53","2023-08-22 11:52:13",NA,NA,NA,NA,NA,NA,0
23160,"热门视频","","花9万元赞助了一个新疆足球队，体育精神，原来是这个样子！？","BV1dyHQenEga",72982,989,625,1971,10399,403,12290,0,"出行","盗月社食遇记",99157282,"https://www.bilibili.com/video/BV1dyHQenEga/",1118,"2024-09-05 05:53","2024-09-06 11:13:40",NA,NA,NA,NA,NA,NA,0
23161,"相关视频","BV1dyHQenEga","在新疆，我们上演了一场夏末公路电影","BV1LT421z7Sr",567974,3958,1126,7496,17861,3208,19552,0,"出行","赖导AboutLai",480670664,"https://www.bilibili.com/video/BV1LT421z7Sr/",1118,"2024-09-05 05:53","2024-08-23 09:00:00",NA,NA,NA,NA,NA,NA,0
23162,"相关视频","BV1dyHQenEga","新疆是个好地方，《旅途餐桌》第一期即将上线！","BV1EM4m1Y7Kc",58030,2,14,2160,112,10,787,0,"Unknown","央视频",433587902,"https://www.bilibili.com/video/BV1EM4m1Y7Kc/",1118,"2024-09-05 05:53","2024-08-25 10:28:08","央视频",433587902,5,"央视频官方账号","",1,1
23163,"相关视频","BV1dyHQenEga","新疆是个好地方，《旅途餐桌》第一期即将上线！","BV1EM4m1Y7Kc",58030,2,14,2160,112,10,787,0,"Unknown","央视频",433587902,"https://www.bilibili.com/video/BV1EM4m1Y7Kc/",1118,"2024-09-05 05:53","2024-08-25 10:28:08","央视频",433587902,5,"央视频官方账号","",1,1
23164,"相关视频","BV1dyHQenEga","山里的生活太可怕了，连拉粑粑都要被牛盯！","BV1dx411d74y",696278,2923,692,2203,11032,797,25033,0,"出行","盗月社食遇记",99157282,"https://www.bilibili.com/video/BV1dx411d74y/",1118,"2024-09-05 05:53","2019-06-28 12:16:10",NA,NA,NA,NA,NA,NA,0
23165,"相关视频","BV1dyHQenEga","东北澡堂有多豪华？害羞的我被大汉拉进洗浴中心，猛搓一顿真香😁","BV12z4y1y7Ar",3585256,17756,5719,31630,172994,49619,236199,0,"日常","盗月社食遇记",99157282,"https://www.bilibili.com/video/BV12z4y1y7Ar/",1118,"2024-09-05 05:53","2020-11-14 11:28:03",NA,NA,NA,NA,NA,NA,0
23166,"相关视频","BV1dyHQenEga","75元一斤，辣子2大勺，这才是真正的兰州手抓羊肉！啃！","BV1KT4y1K7w2",4459288,20786,5168,26288,123172,37972,278906,0,"美食侦探","盗月社食遇记",99157282,"https://www.bilibili.com/video/BV1KT4y1K7w2/",1118,"2024-09-05 05:53","2021-01-19 10:30:03",NA,NA,NA,NA,NA,NA,0
23167,"相关视频","BV1dyHQenEga","中国最便宜的串串？20块钱100串，10种蘸料无限吃！","BV1pt4y1Y7wR",4937148,29493,7060,52384,256171,29035,423364,0,"美食侦探","盗月社食遇记",99157282,"https://www.bilibili.com/video/BV1pt4y1Y7wR/",1118,"2024-09-05 05:53","2020-12-08 10:18:33",NA,NA,NA,NA,NA,NA,0
23168,"相关视频","BV1dyHQenEga","真·社交牛逼症！在新疆，跟陌生阿姨回家吃饭，还切磋了舞蹈💃","BV1uv411A7EJ",4648037,24678,7165,45347,237597,17505,330722,0,"三农","盗月社食遇记",99157282,"https://www.bilibili.com/video/BV1uv411A7EJ/",1118,"2024-09-05 05:53","2021-09-15 10:54:57",NA,NA,NA,NA,NA,NA,0
23169,"相关视频","BV1dyHQenEga","北方人第一次来顺德，凌晨4点起床抢饭吃，现场直接整懵了...","BV1St4y1c77Q",4495741,11998,3269,14248,43387,23432,177717,0,"美食侦探","盗月社食遇记",99157282,"https://www.bilibili.com/video/BV1St4y1c77Q/",1118,"2024-09-05 05:53","2022-10-09 09:46:39",NA,NA,NA,NA,NA,NA,0
